Sl_No, Date, Time, Sun-X, Sun-Y, Luminance 
0,2015:12:07,07:00:02,1056.0,3605.0,37994.8183694
1,2015:12:07,07:02:03,1178.0,3608.0,15161.2610252
2,2015:12:07,07:04:03,1193.0,3601.0,20211.0926224
3,2015:12:07,07:06:03,1199.0,3598.0,20212.8818676
4,2015:12:07,07:08:03,1201.0,3597.0,25261.3910791
5,2015:12:07,07:10:03,1194.0,3601.0,31538.2017117
6,2015:12:07,07:12:04,1200.0,3599.0,31553.43948
7,2015:12:07,07:14:03,1187.0,3601.0,40383.2305781
8,2015:12:07,07:16:04,1184.0,3596.0,40405.9832114
9,2015:12:07,07:18:03,1186.0,3596.0,50518.41796
10,2015:12:07,07:20:03,1187.0,3595.0,50576.771644
11,2015:12:07,07:22:03,1182.0,3596.0,63211.9997495
12,2015:12:07,07:24:03,1178.0,3595.0,63221.02009
13,2015:12:07,07:26:04,1172.0,3594.0,63187.7610144
14,2015:12:07,07:28:03,1167.0,3593.0,80828.7456228
15,2015:12:07,07:30:04,1166.0,3596.0,80671.3904711
16,2015:12:07,07:32:03,1166.0,3591.0,80710.8429021
17,2015:12:07,07:34:04,1162.0,3594.0,100869.36514
18,2015:12:07,07:36:03,1162.0,3599.0,101265.231383
19,2015:12:07,07:38:03,1161.0,3601.0,127019.851619
20,2015:12:07,07:40:04,1162.0,3608.0,127109.68054
21,2015:12:07,07:42:03,1166.0,3602.0,127302.057556
22,2015:12:07,07:44:03,1164.0,3608.0,127415.654106
23,2015:12:07,07:46:03,1165.0,3598.0,127447.03578
24,2015:12:07,07:48:03,1162.0,3611.0,163103.765608
25,2015:12:07,07:50:03,1174.0,3611.0,163120.109207
26,2015:12:07,07:52:03,1183.0,3612.0,163192.481428
27,2015:12:07,07:54:03,1174.0,3586.0,163135.306675
28,2015:12:07,07:56:03,1159.0,3577.0,163178.197144
29,2015:12:07,07:58:04,1165.0,3574.0,163174.642817
30,2015:12:07,08:00:01,1121.0,3694.0,964700.748631
31,2015:12:07,08:02:01,1106.0,3690.0,112738.531483
32,2015:12:07,08:04:01,1108.0,3683.0,113549.660827
33,2015:12:07,08:06:01,1109.0,3677.0,116561.848051
34,2015:12:07,08:08:01,1111.0,3671.0,142777.152796
35,2015:12:07,08:10:01,1114.0,3664.0,145506.304732
36,2015:12:07,08:12:01,1117.0,3658.0,148546.39947
37,2015:12:07,08:14:01,1118.0,3652.0,144745.852313
38,2015:12:07,08:16:01,1120.0,3645.0,145490.22939
39,2015:12:07,08:18:01,1122.0,3639.0,145367.716132
40,2015:12:07,08:20:01,1124.0,3634.0,145517.231408
41,2015:12:07,08:22:02,1126.0,3627.0,145845.255886
42,2015:12:07,08:24:02,1127.0,3620.0,140302.643652
43,2015:12:07,08:26:01,1128.0,3613.0,143737.084533
44,2015:12:07,08:28:01,1129.0,3606.0,140267.531524
45,2015:12:07,08:30:01,1133.0,3599.0,140290.208146
46,2015:12:07,08:32:01,1134.0,3589.0,139898.808652
47,2015:12:07,08:34:02,1135.0,3582.0,170233.312962
48,2015:12:07,08:36:02,1138.0,3575.0,170043.612993
49,2015:12:07,08:38:01,1141.0,3568.0,168795.145544
50,2015:12:07,08:40:01,1143.0,3562.0,170591.87876
51,2015:12:07,08:42:01,1146.0,3558.0,133929.324782
52,2015:12:07,08:44:02,1145.0,3549.0,134140.305826
53,2015:12:07,08:46:01,1148.0,3537.0,130345.415184
54,2015:12:07,08:48:01,1150.0,3532.0,130554.9992
55,2015:12:07,08:50:01,1152.0,3524.0,130175.596704
56,2015:12:07,08:52:01,1154.0,3516.0,140321.693988
57,2015:12:07,08:54:01,1155.0,3514.0,168820.803502
58,2015:12:07,08:56:02,1158.0,3505.0,137534.208937
59,2015:12:07,08:58:01,1159.0,3500.0,138253.617465
60,2015:12:07,09:00:01,1159.0,3493.0,138182.339198
61,2015:12:07,09:02:01,1160.0,3487.0,138573.144949
62,2015:12:07,09:04:01,1161.0,3480.0,138923.55643
63,2015:12:07,09:06:01,1165.0,3473.0,160888.872487
64,2015:12:07,09:08:01,1167.0,3466.0,172311.465002
65,2015:12:07,09:10:01,1173.0,3460.0,177468.505984
66,2015:12:07,09:12:01,1174.0,3446.0,167347.5078
67,2015:12:07,09:14:01,1173.0,3437.0,170436.003322
68,2015:12:07,09:16:01,1174.0,3433.0,165422.091527
69,2015:12:07,09:18:01,1175.0,3426.0,162322.261249
70,2015:12:07,09:20:01,1176.0,3419.0,166779.130316
71,2015:12:07,09:22:01,1179.0,3411.0,162717.841831
72,2015:12:07,09:24:01,1182.0,3404.0,170994.322456
73,2015:12:07,09:26:01,1182.0,3398.0,165752.320978
