Date, Time, Luminance, SolarRadiation, ClearSkyRadiation 
2015-12-02,08-20-02,148028.653411,259.0,250.972174305
2015-12-02,08-22-01,161264.279158,299.0,258.551255148
2015-12-02,08-24-01,163770.020329,302.0,266.221199485
2015-12-02,08-26-01,153762.020736,267.0,273.916230188
2015-12-02,08-28-01,123412.830603,262.0,281.634184014
2015-12-02,08-30-01,150581.288467,265.0,289.372929472
2015-12-02,08-32-01,128989.988363,267.0,297.130380409
2015-12-02,08-34-01,127357.544279,251.0,304.904483824
2015-12-02,08-36-01,125109.124443,221.0,312.69322076
2015-12-02,08-38-02,116342.21256,206.0,320.559666205
2015-12-02,08-40-02,118304.941232,202.0,328.371822945
2015-12-02,08-42-01,113637.214091,199.0,336.127525177
2015-12-02,08-44-02,111460.859115,197.0,344.020490715
2015-12-02,08-46-01,109290.189858,188.0,351.78794797
2015-12-02,08-48-01,109408.040686,185.0,359.623816665
2015-12-02,08-50-01,113999.539436,193.0,367.461028128
2015-12-02,08-52-01,119425.710763,199.0,375.297784727
2015-12-02,08-54-01,118522.043522,197.0,383.132320765
2015-12-02,08-56-02,110430.06965,197.0,391.028124052
2015-12-02,08-58-02,110979.433573,200.0,398.852951842
2015-12-02,09-00-02,120171.730073,225.0,406.670379747
2015-12-02,09-02-01,126321.993902,244.0,414.413694021
2015-12-02,09-04-00,128193.410133,236.0,422.146466191
2015-12-02,09-06-01,160128.5696,248.0,429.996736225
2015-12-02,09-08-00,155156.89566,290.0,437.703395522
2015-12-02,09-10-00,165625.780282,287.0,445.459311887
2015-12-02,09-12-00,159522.700793,313.0,453.198084744
2015-12-02,09-14-01,196959.3988,332.0,460.982407582
2015-12-02,09-16-00,160116.287353,274.0,468.617979609
2015-12-02,09-18-00,202003.562356,374.0,476.29604038
2015-12-02,09-20-00,157931.794198,352.0,483.950826871
2015-12-02,09-22-00,159698.643478,313.0,491.580854915
2015-12-02,09-24-00,196894.845761,391.0,499.1846554
2015-12-02,09-26-00,204562.810217,455.0,506.76077922
2015-12-02,09-28-00,167864.232662,359.0,514.307786935
2015-12-02,09-30-01,200027.639453,477.0,521.886768607
2015-12-02,09-32-00,201543.242108,512.0,529.30880976
2015-12-02,09-34-00,206295.413428,538.0,536.760041274
2015-12-02,09-36-01,205737.810233,552.0,544.238248999
2015-12-02,09-38-01,246344.87067,552.0,551.618462614
2015-12-02,09-40-01,244550.533401,548.0,558.961300815
2015-12-02,09-42-00,247641.863211,518.0,566.204742712
2015-12-02,09-44-00,198608.382411,552.0,573.469234811
2015-12-02,09-46-00,196428.841494,599.0,580.692461072
2015-12-02,09-48-00,193843.211231,564.0,587.873156177
2015-12-02,09-50-00,243285.126044,561.0,595.010063846
2015-12-02,09-52-00,234356.188686,512.0,602.101951369
2015-12-02,09-54-01,143087.702556,398.0,609.206115614
2015-12-02,09-56-00,70330.77602,251.0,616.145806698
2015-12-02,09-58-00,162370.607931,281.0,623.095385558
2015-12-02,10-00-00,106874.156658,270.0,629.995166346
2015-12-02,10-01-01,100047.3689,258.0,633.483095456
2015-12-02,10-02-01,89903.1707622,253.0,636.900853572
2015-12-02,10-03-00,76721.6391267,246.0,640.248948993
2015-12-02,10-04-01,61955.4408067,239.0,643.697154348
2015-12-02,10-05-00,50849.5368089,228.0,647.019222462
2015-12-02,10-06-00,45962.2451689,227.0,650.384266278
2015-12-02,10-07-01,43319.63276,223.0,653.791472646
2015-12-02,10-08-00,38809.82046,221.0,657.073480144
2015-12-02,10-09-01,40051.1276289,218.0,660.452657985
2015-12-02,10-10-00,40192.2707711,214.0,663.707292609
2015-12-02,10-11-00,41173.88496,209.0,667.00308575
2015-12-02,10-12-00,47423.7715556,207.0,670.284627307
2015-12-02,10-13-01,55206.9201022,207.0,673.606115612
2015-12-02,10-14-00,59016.0375556,209.0,676.80443106
2015-12-02,10-15-00,59599.6327044,209.0,680.042433535
2015-12-02,10-16-00,59385.3804911,211.0,683.265665005
2015-12-02,10-17-01,63011.2736067,216.0,686.527343192
2015-12-02,10-19-01,73438.9231267,227.0,692.898305923
2015-12-02,10-20-00,74792.4672889,232.0,696.008351201
2015-12-02,10-22-00,74329.3504689,241.0,702.287809057
2015-12-02,10-24-00,55105.6561755,255.0,708.504710565
2015-12-02,10-26-00,48051.7310511,260.0,714.658096414
2015-12-02,10-28-00,48747.9257944,264.0,720.747030594
2015-12-02,10-30-00,49039.6502583,267.0,726.770592009
2015-12-02,10-32-01,57077.9074083,272.0,732.777239528
2015-12-02,10-34-00,82393.1023945,279.0,738.617999983
2015-12-02,10-36-00,89712.9174111,297.0,744.440088455
2015-12-02,10-38-00,97067.9910911,302.0,750.193292169
2015-12-02,10-40-00,107411.892897,306.0,755.876776669
2015-12-02,10-42-00,128408.067139,316.0,761.489725135
2015-12-02,10-44-00,116825.711889,320.0,767.031338465
2015-12-02,10-46-00,144813.311456,321.0,772.500835371
2015-12-02,10-48-00,116371.600231,316.0,777.897454318
2015-12-02,10-50-00,145144.401608,304.0,783.220446382
2015-12-02,10-52-01,147622.730114,323.0,788.512510274
2015-12-02,10-54-00,113496.728089,308.0,793.642664993
2015-12-02,10-56-00,94057.8234578,279.0,798.740493849
2015-12-02,10-58-00,78085.5898067,266.0,803.761897355
2015-12-02,11-00-00,84581.0941695,267.0,808.70622381
2015-12-02,11-02-01,67840.5541139,262.0,813.613065147
2015-12-02,11-04-01,63419.3676467,275.0,818.400696899
2015-12-02,11-06-00,57487.0673689,279.0,823.07048786
2015-12-02,11-08-01,53201.7272,276.0,827.738595526
